date,revenue,expenses,profit,region,category,customers
2023-01-01,15000,8000,7000,North,Electronics,245
2023-01-02,18000,9500,8500,South,Electronics,312
2023-01-03,12000,6500,5500,East,Clothing,198
2023-01-04,22000,11000,11000,West,Electronics,387
2023-01-05,16000,8500,7500,North,Clothing,267
2023-01-06,19000,10200,8800,South,Home & Garden,334
2023-01-07,14000,7800,6200,East,Electronics,223
2023-01-08,25000,12500,12500,West,Home & Garden,445
2023-01-09,17000,9000,8000,North,Electronics,289
2023-01-10,20000,10800,9200,South,Clothing,356
2023-01-11,13000,7200,5800,East,Home & Garden,201
2023-01-12,24000,12000,12000,West,Electronics,423
2023-01-13,15500,8300,7200,North,Clothing,258
2023-01-14,21000,11200,9800,South,Electronics,367
2023-01-15,11000,6000,5000,East,Clothing,178
2023-01-16,26000,13000,13000,West,Home & Garden,456
2023-01-17,18500,9800,8700,North,Electronics,301
2023-01-18,16500,8800,7700,South,Home & Garden,287
2023-01-19,14500,7900,6600,East,Electronics,234
2023-01-20,23000,11500,11500,West,Clothing,402
2023-01-21,17500,9200,8300,North,Home & Garden,295
2023-01-22,19500,10500,9000,South,Electronics,341
2023-01-23,12500,6800,5700,East,Clothing,205
2023-01-24,27000,13500,13500,West,Electronics,467
2023-01-25,16800,8900,7900,North,Clothing,278
2023-01-26,20500,11000,9500,South,Home & Garden,359
2023-01-27,13500,7400,6100,East,Electronics,218
2023-01-28,25500,12800,12700,West,Home & Garden,441
2023-01-29,18200,9600,8600,North,Electronics,308
2023-01-30,21500,11500,10000,South,Clothing,374
2023-01-31,11500,6300,5200,East,Home & Garden,184
2023-02-01,28000,14000,14000,West,Electronics,489
2023-02-02,17800,9400,8400,North,Clothing,299
2023-02-03,22000,11800,10200,South,Electronics,381
2023-02-04,14000,7600,6400,East,Clothing,225
2023-02-05,26500,13200,13300,West,Home & Garden,458
2023-02-06,19200,10100,9100,North,Electronics,332
2023-02-07,17200,9100,8100,South,Home & Garden,295
2023-02-08,15000,8200,6800,East,Electronics,243
2023-02-09,24500,12200,12300,West,Clothing,425
2023-02-10,18800,9900,8900,North,Home & Garden,318
2023-02-11,20800,11200,9600,South,Electronics,362
2023-02-12,13200,7300,5900,East,Clothing,212
2023-02-13,27500,13800,13700,West,Electronics,476
2023-02-14,16200,8600,7600,North,Clothing,272
2023-02-15,21800,11600,10200,South,Home & Garden,378
2023-02-16,12800,7000,5800,East,Electronics,207
2023-02-17,29000,14500,14500,West,Home & Garden,501
2023-02-18,19800,10400,9400,North,Electronics,340
2023-02-19,18600,9800,8800,South,Clothing,316
2023-02-20,15500,8400,7100,East,Home & Garden,248